Iteration 1, Temp 950.0000, Current Conflicts 0, Best Conflicts 0
Iteration 2, Temp 902.5000, Current Conflicts 0, Best Conflicts 0
Iteration 3, Temp 857.3750, Current Conflicts 0, Best Conflicts 0
Iteration 4, Temp 814.5062, Current Conflicts 0, Best Conflicts 0
Iteration 5, Temp 773.7809, Current Conflicts 0, Best Conflicts 0
Iteration 6, Temp 735.0919, Current Conflicts 0, Best Conflicts 0
Iteration 7, Temp 698.3373, Current Conflicts 0, Best Conflicts 0
Iteration 8, Temp 663.4204, Current Conflicts 1, Best Conflicts 0
Iteration 9, Temp 630.2494, Current Conflicts 1, Best Conflicts 0
Iteration 10, Temp 598.7369, Current Conflicts 1, Best Conflicts 0
Iteration 11, Temp 568.8001, Current Conflicts 0, Best Conflicts 0
Iteration 12, Temp 540.3601, Current Conflicts 0, Best Conflicts 0
Iteration 13, Temp 513.3421, Current Conflicts 1, Best Conflicts 0
Iteration 14, Temp 487.6750, Current Conflicts 0, Best Conflicts 0
Iteration 15, Temp 463.2912, Current Conflicts 0, Best Conflicts 0
Iteration 16, Temp 440.1267, Current Conflicts 0, Best Conflicts 0
Iteration 17, Temp 418.1203, Current Conflicts 0, Best Conflicts 0
Iteration 18, Temp 397.2143, Current Conflicts 0, Best Conflicts 0
Iteration 19, Temp 377.3536, Current Conflicts 0, Best Conflicts 0
Iteration 20, Temp 358.4859, Current Conflicts 0, Best Conflicts 0
Iteration 21, Temp 340.5616, Current Conflicts 0, Best Conflicts 0
Iteration 22, Temp 323.5335, Current Conflicts 0, Best Conflicts 0
Iteration 23, Temp 307.3569, Current Conflicts 0, Best Conflicts 0
Iteration 24, Temp 291.9890, Current Conflicts 0, Best Conflicts 0
Iteration 25, Temp 277.3896, Current Conflicts 0, Best Conflicts 0
Iteration 26, Temp 263.5201, Current Conflicts 0, Best Conflicts 0
Iteration 27, Temp 250.3441, Current Conflicts 0, Best Conflicts 0
Iteration 28, Temp 237.8269, Current Conflicts 0, Best Conflicts 0
Iteration 29, Temp 225.9355, Current Conflicts 0, Best Conflicts 0
Iteration 30, Temp 214.6388, Current Conflicts 1, Best Conflicts 0
Iteration 31, Temp 203.9068, Current Conflicts 1, Best Conflicts 0
Iteration 32, Temp 193.7115, Current Conflicts 1, Best Conflicts 0
Iteration 33, Temp 184.0259, Current Conflicts 1, Best Conflicts 0
Iteration 34, Temp 174.8246, Current Conflicts 1, Best Conflicts 0
Iteration 35, Temp 166.0834, Current Conflicts 1, Best Conflicts 0
Iteration 36, Temp 157.7792, Current Conflicts 1, Best Conflicts 0
Iteration 37, Temp 149.8903, Current Conflicts 1, Best Conflicts 0
Iteration 38, Temp 142.3957, Current Conflicts 1, Best Conflicts 0
Iteration 39, Temp 135.2760, Current Conflicts 1, Best Conflicts 0
Iteration 40, Temp 128.5122, Current Conflicts 1, Best Conflicts 0
Iteration 41, Temp 122.0865, Current Conflicts 1, Best Conflicts 0
Iteration 42, Temp 115.9822, Current Conflicts 0, Best Conflicts 0
Iteration 43, Temp 110.1831, Current Conflicts 0, Best Conflicts 0
Iteration 44, Temp 104.6740, Current Conflicts 0, Best Conflicts 0
Iteration 45, Temp 99.4403, Current Conflicts 0, Best Conflicts 0
Iteration 46, Temp 94.4682, Current Conflicts 0, Best Conflicts 0
Iteration 47, Temp 89.7448, Current Conflicts 1, Best Conflicts 0
Iteration 48, Temp 85.2576, Current Conflicts 1, Best Conflicts 0
Iteration 49, Temp 80.9947, Current Conflicts 1, Best Conflicts 0
Iteration 50, Temp 76.9450, Current Conflicts 1, Best Conflicts 0
Iteration 51, Temp 73.0977, Current Conflicts 1, Best Conflicts 0
Iteration 52, Temp 69.4428, Current Conflicts 0, Best Conflicts 0
Iteration 53, Temp 65.9707, Current Conflicts 0, Best Conflicts 0
Iteration 54, Temp 62.6722, Current Conflicts 0, Best Conflicts 0
Iteration 55, Temp 59.5386, Current Conflicts 0, Best Conflicts 0
Iteration 56, Temp 56.5616, Current Conflicts 0, Best Conflicts 0
Iteration 57, Temp 53.7335, Current Conflicts 0, Best Conflicts 0
Iteration 58, Temp 51.0469, Current Conflicts 0, Best Conflicts 0
Iteration 59, Temp 48.4945, Current Conflicts 0, Best Conflicts 0
Iteration 60, Temp 46.0698, Current Conflicts 0, Best Conflicts 0
Iteration 61, Temp 43.7663, Current Conflicts 0, Best Conflicts 0
Iteration 62, Temp 41.5780, Current Conflicts 0, Best Conflicts 0
Iteration 63, Temp 39.4991, Current Conflicts 0, Best Conflicts 0
Iteration 64, Temp 37.5241, Current Conflicts 0, Best Conflicts 0
Iteration 65, Temp 35.6479, Current Conflicts 0, Best Conflicts 0
Iteration 66, Temp 33.8655, Current Conflicts 0, Best Conflicts 0
Iteration 67, Temp 32.1723, Current Conflicts 0, Best Conflicts 0
Iteration 68, Temp 30.5636, Current Conflicts 0, Best Conflicts 0
Iteration 69, Temp 29.0355, Current Conflicts 0, Best Conflicts 0
Iteration 70, Temp 27.5837, Current Conflicts 0, Best Conflicts 0
Iteration 71, Temp 26.2045, Current Conflicts 0, Best Conflicts 0
Iteration 72, Temp 24.8943, Current Conflicts 0, Best Conflicts 0
Iteration 73, Temp 23.6496, Current Conflicts 0, Best Conflicts 0
Iteration 74, Temp 22.4671, Current Conflicts 0, Best Conflicts 0
Iteration 75, Temp 21.3437, Current Conflicts 0, Best Conflicts 0
Iteration 76, Temp 20.2765, Current Conflicts 0, Best Conflicts 0
Iteration 77, Temp 19.2627, Current Conflicts 0, Best Conflicts 0
Iteration 78, Temp 18.2996, Current Conflicts 0, Best Conflicts 0
Iteration 79, Temp 17.3846, Current Conflicts 0, Best Conflicts 0
Iteration 80, Temp 16.5154, Current Conflicts 0, Best Conflicts 0
Iteration 81, Temp 15.6896, Current Conflicts 0, Best Conflicts 0
Iteration 82, Temp 14.9051, Current Conflicts 0, Best Conflicts 0
Iteration 83, Temp 14.1599, Current Conflicts 0, Best Conflicts 0
Iteration 84, Temp 13.4519, Current Conflicts 0, Best Conflicts 0
Iteration 85, Temp 12.7793, Current Conflicts 0, Best Conflicts 0
Iteration 86, Temp 12.1403, Current Conflicts 0, Best Conflicts 0
Iteration 87, Temp 11.5333, Current Conflicts 0, Best Conflicts 0
Iteration 88, Temp 10.9566, Current Conflicts 0, Best Conflicts 0
Iteration 89, Temp 10.4088, Current Conflicts 1, Best Conflicts 0
Iteration 90, Temp 9.8884, Current Conflicts 0, Best Conflicts 0
Iteration 91, Temp 9.3939, Current Conflicts 0, Best Conflicts 0
Iteration 92, Temp 8.9242, Current Conflicts 0, Best Conflicts 0
Iteration 93, Temp 8.4780, Current Conflicts 0, Best Conflicts 0
Iteration 94, Temp 8.0541, Current Conflicts 0, Best Conflicts 0
Iteration 95, Temp 7.6514, Current Conflicts 0, Best Conflicts 0
Iteration 96, Temp 7.2689, Current Conflicts 0, Best Conflicts 0
Iteration 97, Temp 6.9054, Current Conflicts 0, Best Conflicts 0
Iteration 98, Temp 6.5601, Current Conflicts 0, Best Conflicts 0
Iteration 99, Temp 6.2321, Current Conflicts 0, Best Conflicts 0
Iteration 100, Temp 5.9205, Current Conflicts 0, Best Conflicts 0
Iteration 101, Temp 5.6245, Current Conflicts 0, Best Conflicts 0
Iteration 102, Temp 5.3433, Current Conflicts 0, Best Conflicts 0
Iteration 103, Temp 5.0761, Current Conflicts 0, Best Conflicts 0
Iteration 104, Temp 4.8223, Current Conflicts 1, Best Conflicts 0
Iteration 105, Temp 4.5812, Current Conflicts 1, Best Conflicts 0
Iteration 106, Temp 4.3521, Current Conflicts 1, Best Conflicts 0
Iteration 107, Temp 4.1345, Current Conflicts 1, Best Conflicts 0
Iteration 108, Temp 3.9278, Current Conflicts 1, Best Conflicts 0
Iteration 109, Temp 3.7314, Current Conflicts 1, Best Conflicts 0
Iteration 110, Temp 3.5448, Current Conflicts 1, Best Conflicts 0
Iteration 111, Temp 3.3676, Current Conflicts 1, Best Conflicts 0
Iteration 112, Temp 3.1992, Current Conflicts 1, Best Conflicts 0
Iteration 113, Temp 3.0393, Current Conflicts 2, Best Conflicts 0
Iteration 114, Temp 2.8873, Current Conflicts 1, Best Conflicts 0
Iteration 115, Temp 2.7429, Current Conflicts 0, Best Conflicts 0
Iteration 116, Temp 2.6058, Current Conflicts 0, Best Conflicts 0
Iteration 117, Temp 2.4755, Current Conflicts 0, Best Conflicts 0
Iteration 118, Temp 2.3517, Current Conflicts 0, Best Conflicts 0
Iteration 119, Temp 2.2341, Current Conflicts 0, Best Conflicts 0
Iteration 120, Temp 2.1224, Current Conflicts 0, Best Conflicts 0
Iteration 121, Temp 2.0163, Current Conflicts 0, Best Conflicts 0
Iteration 122, Temp 1.9155, Current Conflicts 0, Best Conflicts 0
Iteration 123, Temp 1.8197, Current Conflicts 0, Best Conflicts 0
Iteration 124, Temp 1.7287, Current Conflicts 0, Best Conflicts 0
